MoveNumber,Player,PlayerRating,FEN,SAN,UCI,Result
1,White,1496,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,d2d4,1-0
2,Black,1482,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,e6,e7e6,1-0
3,White,1496,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e4,e2e4,1-0
4,Black,1482,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d5,d7d5,1-0
5,White,1496,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e5,e4e5,1-0
6,Black,1482,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,c5,c7c5,1-0
7,White,1496,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nf3,g1f3,1-0
8,Black,1482,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4,cxd4,c5d4,1-0
9,White,1496,rnbqkbnr/pp3ppp/4p3/3pP3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Nxd4,f3d4,1-0
10,Black,1482,rnbqkbnr/pp3ppp/4p3/3pP3/3N4/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,Nc6,b8c6,1-0
11,White,1496,r1bqkbnr/pp3ppp/2n1p3/3pP3/3N4/8/PPP2PPP/RNBQKB1R w KQkq - 1 6,Nf3,d4f3,1-0
12,Black,1482,r1bqkbnr/pp3ppp/2n1p3/3pP3/8/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 6,Nge7,g8e7,1-0
13,White,1496,r1bqkb1r/pp2nppp/2n1p3/3pP3/8/5N2/PPP2PPP/RNBQKB1R w KQkq - 3 7,Bb5,f1b5,1-0
14,Black,1482,r1bqkb1r/pp2nppp/2n1p3/1B1pP3/8/5N2/PPP2PPP/RNBQK2R b KQkq - 4 7,Bd7,c8d7,1-0
15,White,1496,r2qkb1r/pp1bnppp/2n1p3/1B1pP3/8/5N2/PPP2PPP/RNBQK2R w KQkq - 5 8,Bd3,b5d3,1-0
16,Black,1482,r2qkb1r/pp1bnppp/2n1p3/3pP3/8/3B1N2/PPP2PPP/RNBQK2R b KQkq - 6 8,f5,f7f5,1-0
17,White,1496,r2qkb1r/pp1bn1pp/2n1p3/3pPp2/8/3B1N2/PPP2PPP/RNBQK2R w KQkq f6 0 9,exf6,e5f6,1-0
18,Black,1482,r2qkb1r/pp1bn1pp/2n1pP2/3p4/8/3B1N2/PPP2PPP/RNBQK2R b KQkq - 0 9,gxf6,g7f6,1-0
19,White,1496,r2qkb1r/pp1bn2p/2n1pp2/3p4/8/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 10,c3,c2c3,1-0
20,Black,1482,r2qkb1r/pp1bn2p/2n1pp2/3p4/8/2PB1N2/PP3PPP/RNBQK2R b KQkq - 0 10,f5,f6f5,1-0
21,White,1496,r2qkb1r/pp1bn2p/2n1p3/3p1p2/8/2PB1N2/PP3PPP/RNBQK2R w KQkq - 0 11,O-O,e1g1,1-0
22,Black,1482,r2qkb1r/pp1bn2p/2n1p3/3p1p2/8/2PB1N2/PP3PPP/RNBQ1RK1 b kq - 1 11,Ng6,e7g6,1-0
23,White,1496,r2qkb1r/pp1b3p/2n1p1n1/3p1p2/8/2PB1N2/PP3PPP/RNBQ1RK1 w kq - 2 12,Ng5,f3g5,1-0
24,Black,1482,r2qkb1r/pp1b3p/2n1p1n1/3p1pN1/8/2PB4/PP3PPP/RNBQ1RK1 b kq - 3 12,Qf6,d8f6,1-0
25,White,1496,r3kb1r/pp1b3p/2n1pqn1/3p1pN1/8/2PB4/PP3PPP/RNBQ1RK1 w kq - 4 13,Re1,f1e1,1-0
26,Black,1482,r3kb1r/pp1b3p/2n1pqn1/3p1pN1/8/2PB4/PP3PPP/RNBQR1K1 b kq - 5 13,O-O-O,e8c8,1-0
27,White,1496,2kr1b1r/pp1b3p/2n1pqn1/3p1pN1/8/2PB4/PP3PPP/RNBQR1K1 w - - 6 14,Nf3,g5f3,1-0
28,Black,1482,2kr1b1r/pp1b3p/2n1pqn1/3p1p2/8/2PB1N2/PP3PPP/RNBQR1K1 b - - 7 14,e5,e6e5,1-0
29,White,1496,2kr1b1r/pp1b3p/2n2qn1/3ppp2/8/2PB1N2/PP3PPP/RNBQR1K1 w - - 0 15,Bg5,c1g5,1-0
30,Black,1482,2kr1b1r/pp1b3p/2n2qn1/3pppB1/8/2PB1N2/PP3PPP/RN1QR1K1 b - - 1 15,Qe6,f6e6,1-0
31,White,1496,2kr1b1r/pp1b3p/2n1q1n1/3pppB1/8/2PB1N2/PP3PPP/RN1QR1K1 w - - 2 16,Bxd8,g5d8,1-0
32,Black,1482,2kB1b1r/pp1b3p/2n1q1n1/3ppp2/8/2PB1N2/PP3PPP/RN1QR1K1 b - - 0 16,Kxd8,c8d8,1-0
33,White,1496,3k1b1r/pp1b3p/2n1q1n1/3ppp2/8/2PB1N2/PP3PPP/RN1QR1K1 w - - 0 17,Ng5,f3g5,1-0
34,Black,1482,3k1b1r/pp1b3p/2n1q1n1/3pppN1/8/2PB4/PP3PPP/RN1QR1K1 b - - 1 17,Qf6,e6f6,1-0
35,White,1496,3k1b1r/pp1b3p/2n2qn1/3pppN1/8/2PB4/PP3PPP/RN1QR1K1 w - - 2 18,Qh5,d1h5,1-0
36,Black,1482,3k1b1r/pp1b3p/2n2qn1/3pppNQ/8/2PB4/PP3PPP/RN2R1K1 b - - 3 18,e4,e5e4,1-0
37,White,1496,3k1b1r/pp1b3p/2n2qn1/3p1pNQ/4p3/2PB4/PP3PPP/RN2R1K1 w - - 0 19,Bc2,d3c2,1-0
38,Black,1482,3k1b1r/pp1b3p/2n2qn1/3p1pNQ/4p3/2P5/PPB2PPP/RN2R1K1 b - - 1 19,Nce5,c6e5,1-0
39,White,1496,3k1b1r/pp1b3p/5qn1/3pnpNQ/4p3/2P5/PPB2PPP/RN2R1K1 w - - 2 20,Nh3,g5h3,1-0
40,Black,1482,3k1b1r/pp1b3p/5qn1/3pnp1Q/4p3/2P4N/PPB2PPP/RN2R1K1 b - - 3 20,Be8,d7e8,1-0
41,White,1496,3kbb1r/pp5p/5qn1/3pnp1Q/4p3/2P4N/PPB2PPP/RN2R1K1 w - - 4 21,Qg5,h5g5,1-0
42,Black,1482,3kbb1r/pp5p/5qn1/3pnpQ1/4p3/2P4N/PPB2PPP/RN2R1K1 b - - 5 21,Be7,f8e7,1-0
43,White,1496,3kb2r/pp2b2p/5qn1/3pnpQ1/4p3/2P4N/PPB2PPP/RN2R1K1 w - - 6 22,Qe3,g5e3,1-0
44,Black,1482,3kb2r/pp2b2p/5qn1/3pnp2/4p3/2P1Q2N/PPB2PPP/RN2R1K1 b - - 7 22,b6,b7b6,1-0
45,White,1496,3kb2r/p3b2p/1p3qn1/3pnp2/4p3/2P1Q2N/PPB2PPP/RN2R1K1 w - - 0 23,Na3,b1a3,1-0
46,Black,1482,3kb2r/p3b2p/1p3qn1/3pnp2/4p3/N1P1Q2N/PPB2PPP/R3R1K1 b - - 1 23,Bxa3,e7a3,1-0
47,White,1496,3kb2r/p6p/1p3qn1/3pnp2/4p3/b1P1Q2N/PPB2PPP/R3R1K1 w - - 0 24,bxa3,b2a3,1-0
48,Black,1482,3kb2r/p6p/1p3qn1/3pnp2/4p3/P1P1Q2N/P1B2PPP/R3R1K1 b - - 0 24,Ng4,e5g4,1-0
49,White,1496,3kb2r/p6p/1p3qn1/3p1p2/4p1n1/P1P1Q2N/P1B2PPP/R3R1K1 w - - 1 25,Qg5,e3g5,1-0
50,Black,1482,3kb2r/p6p/1p3qn1/3p1pQ1/4p1n1/P1P4N/P1B2PPP/R3R1K1 b - - 2 25,Qxg5,f6g5,1-0
51,White,1496,3kb2r/p6p/1p4n1/3p1pq1/4p1n1/P1P4N/P1B2PPP/R3R1K1 w - - 0 26,Nxg5,h3g5,1-0
52,Black,1482,3kb2r/p6p/1p4n1/3p1pN1/4p1n1/P1P5/P1B2PPP/R3R1K1 b - - 0 26,h6,h7h6,1-0
53,White,1496,3kb2r/p7/1p4np/3p1pN1/4p1n1/P1P5/P1B2PPP/R3R1K1 w - - 0 27,Ne6+,g5e6,1-0
54,Black,1482,3kb2r/p7/1p2N1np/3p1p2/4p1n1/P1P5/P1B2PPP/R3R1K1 b - - 1 27,Ke7,d8e7,1-0
55,White,1496,4b2r/p3k3/1p2N1np/3p1p2/4p1n1/P1P5/P1B2PPP/R3R1K1 w - - 2 28,Nd4,e6d4,1-0
56,Black,1482,4b2r/p3k3/1p4np/3p1p2/3Np1n1/P1P5/P1B2PPP/R3R1K1 b - - 3 28,Bd7,e8d7,1-0
57,White,1496,7r/p2bk3/1p4np/3p1p2/3Np1n1/P1P5/P1B2PPP/R3R1K1 w - - 4 29,h3,h2h3,1-0
58,Black,1482,7r/p2bk3/1p4np/3p1p2/3Np1n1/P1P4P/P1B2PP1/R3R1K1 b - - 0 29,N4e5,g4e5,1-0
59,White,1496,7r/p2bk3/1p4np/3pnp2/3Np3/P1P4P/P1B2PP1/R3R1K1 w - - 1 30,Bb3,c2b3,1-0
60,Black,1482,7r/p2bk3/1p4np/3pnp2/3Np3/PBP4P/P4PP1/R3R1K1 b - - 2 30,Kd6,e7d6,1-0
61,White,1496,7r/p2b4/1p1k2np/3pnp2/3Np3/PBP4P/P4PP1/R3R1K1 w - - 3 31,Nb5+,d4b5,1-0
62,Black,1482,7r/p2b4/1p1k2np/1N1pnp2/4p3/PBP4P/P4PP1/R3R1K1 b - - 4 31,Bxb5,d7b5,1-0
63,White,1496,7r/p7/1p1k2np/1b1pnp2/4p3/PBP4P/P4PP1/R3R1K1 w - - 0 32,a4,a3a4,1-0
64,Black,1482,7r/p7/1p1k2np/1b1pnp2/P3p3/1BP4P/P4PP1/R3R1K1 b - - 0 32,Bc4,b5c4,1-0
65,White,1496,7r/p7/1p1k2np/3pnp2/P1b1p3/1BP4P/P4PP1/R3R1K1 w - - 1 33,Bxc4,b3c4,1-0
66,Black,1482,7r/p7/1p1k2np/3pnp2/P1B1p3/2P4P/P4PP1/R3R1K1 b - - 0 33,Nxc4,e5c4,1-0
67,White,1496,7r/p7/1p1k2np/3p1p2/P1n1p3/2P4P/P4PP1/R3R1K1 w - - 0 34,Rab1,a1b1,1-0
68,Black,1482,7r/p7/1p1k2np/3p1p2/P1n1p3/2P4P/P4PP1/1R2R1K1 b - - 1 34,Rc8,h8c8,1-0
69,White,1496,2r5/p7/1p1k2np/3p1p2/P1n1p3/2P4P/P4PP1/1R2R1K1 w - - 2 35,Rb5,b1b5,1-0
70,Black,1482,2r5/p7/1p1k2np/1R1p1p2/P1n1p3/2P4P/P4PP1/4R1K1 b - - 3 35,Rc5,c8c5,1-0
71,White,1496,8/p7/1p1k2np/1Rrp1p2/P1n1p3/2P4P/P4PP1/4R1K1 w - - 4 36,Rb4,b5b4,1-0
72,Black,1482,8/p7/1p1k2np/2rp1p2/PRn1p3/2P4P/P4PP1/4R1K1 b - - 5 36,Nge5,g6e5,1-0
73,White,1496,8/p7/1p1k3p/2rpnp2/PRn1p3/2P4P/P4PP1/4R1K1 w - - 6 37,Rd1,e1d1,1-0
74,Black,1482,8/p7/1p1k3p/2rpnp2/PRn1p3/2P4P/P4PP1/3R2K1 b - - 7 37,Nd3,e5d3,1-0
75,White,1496,8/p7/1p1k3p/2rp1p2/PRn1p3/2Pn3P/P4PP1/3R2K1 w - - 8 38,Rb3,b4b3,1-0
76,Black,1482,8/p7/1p1k3p/2rp1p2/P1n1p3/1RPn3P/P4PP1/3R2K1 b - - 9 38,Na5,c4a5,1-0
77,White,1496,8/p7/1p1k3p/n1rp1p2/P3p3/1RPn3P/P4PP1/3R2K1 w - - 10 39,Rbb1,b3b1,1-0
78,Black,1482,8/p7/1p1k3p/n1rp1p2/P3p3/2Pn3P/P4PP1/1R1R2K1 b - - 11 39,Kc6,d6c6,1-0
79,White,1496,8/p7/1pk4p/n1rp1p2/P3p3/2Pn3P/P4PP1/1R1R2K1 w - - 12 40,Kh2,g1h2,1-0
80,Black,1482,8/p7/1pk4p/n1rp1p2/P3p3/2Pn3P/P4PPK/1R1R4 b - - 13 40,Nf4,d3f4,1-0
81,White,1496,8/p7/1pk4p/n1rp1p2/P3pn2/2P4P/P4PPK/1R1R4 w - - 14 41,Kg3,h2g3,1-0
82,Black,1482,8/p7/1pk4p/n1rp1p2/P3pn2/2P3KP/P4PP1/1R1R4 b - - 15 41,Ne6,f4e6,1-0
83,White,1496,8/p7/1pk1n2p/n1rp1p2/P3p3/2P3KP/P4PP1/1R1R4 w - - 16 42,c4,c3c4,1-0
84,Black,1482,8/p7/1pk1n2p/n1rp1p2/P1P1p3/6KP/P4PP1/1R1R4 b - - 0 42,Rxc4,c5c4,1-0
85,White,1496,8/p7/1pk1n2p/n2p1p2/P1r1p3/6KP/P4PP1/1R1R4 w - - 0 43,Rbc1,b1c1,1-0
86,Black,1482,8/p7/1pk1n2p/n2p1p2/P1r1p3/6KP/P4PP1/2RR4 b - - 1 43,Rxc1,c4c1,1-0
87,White,1496,8/p7/1pk1n2p/n2p1p2/P3p3/6KP/P4PP1/2rR4 w - - 0 44,Rxc1+,d1c1,1-0
88,Black,1482,8/p7/1pk1n2p/n2p1p2/P3p3/6KP/P4PP1/2R5 b - - 0 44,Nc5,e6c5,1-0
89,White,1496,8/p7/1pk4p/n1np1p2/P3p3/6KP/P4PP1/2R5 w - - 1 45,Kh4,g3h4,1-0
90,Black,1482,8/p7/1pk4p/n1np1p2/P3p2K/7P/P4PP1/2R5 b - - 2 45,Nc4,a5c4,1-0
91,White,1496,8/p7/1pk4p/2np1p2/P1n1p2K/7P/P4PP1/2R5 w - - 3 46,Kh5,h4h5,1-0
92,Black,1482,8/p7/1pk4p/2np1p1K/P1n1p3/7P/P4PP1/2R5 b - - 4 46,Ne5,c4e5,1-0
93,White,1496,8/p7/1pk4p/2npnp1K/P3p3/7P/P4PP1/2R5 w - - 5 47,Kxh6,h5h6,1-0
94,Black,1482,8/p7/1pk4K/2npnp2/P3p3/7P/P4PP1/2R5 b - - 0 47,Nd3,e5d3,1-0
95,White,1496,8/p7/1pk4K/2np1p2/P3p3/3n3P/P4PP1/2R5 w - - 1 48,Rc2,c1c2,1-0
1,White,1502,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,d2d4,0-1
2,Black,1518,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,c5,c7c5,0-1
3,White,1502,rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e4,e2e4,0-1
4,Black,1518,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,cxd4,c5d4,0-1
5,White,1502,rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Qxd4,d1d4,0-1
6,Black,1518,rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,Nc6,b8c6,0-1
7,White,1502,r1bqkbnr/pp1ppppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,Qd1,d4d1,0-1
8,Black,1518,r1bqkbnr/pp1ppppp/2n5/8/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 2 4,e5,e7e5,0-1
